,Product,Name,Rating,CommentHead,Comment,Customer,Period,Likes,Dislikes,_id
0,APPLE iPhone 12 Pro Max ,Flipkart Customer,5,Worth every penny,"Using it since last week.The display, photo and performance are best. Touch sensitivity is best. Photos are so natural, night time photos are too good. Photo quality after zooming is also good. Videos are also good. Better to buy Pro Max for longer battery backup. After heavy use, watching movies, battery consumption is 70% per day in average (no idea about backup for game users). Regarding weight, I am used to it. Dint find much difference from Samsung M31S and Flagship models. You can hold ...","Certified Buyer, Koraput",3 months ago,4136,598,6082b95150df8a0d0cbd572e
1,APPLE iPhone 12 Pro Max ,Abinash Mohanty,5,Awesome,"The product is just Awesome  love it 6gbRAM 256gb its enough worth of money.Love the product,good build in camera.Magnificient phn,no other phones can replace it.","Certified Buyer, Cuttack",5 months ago,2607,406,6082b95150df8a0d0cbd572f
2,APPLE iPhone 12 Pro Max ,Flipkart Customer,5,Best in the market!,"The best ever camera from apple, it gives you 2x more realistic and crystel clear photo than iphone11Its new colour feature(pacific blue) gives you a standard royal vibes as never before, its A14 bionic chip is as faster as wind which is great for gaming","Certified Buyer, Khalilabad",5 months ago,1342,229,6082b95150df8a0d0cbd5730
3,APPLE iPhone 12 Pro Max ,Susruta Samanta,5,Classy product,"Excellent product. Smooth operation, Very fast flipkart delivery. I received on 15/11.  Even Flipkart customer care called many times to know the  phone use experience and reminded me 7 days return policy in case any problem.  This is a new experience from Flipkart.","Certified Buyer, New Delhi",4 months ago,14,2,6082b95150df8a0d0cbd5731
4,APPLE iPhone 12 Pro Max ,Flipkart Customer,5,Classy product,Great phone fantastic display butter smooth switching between apps and overall thanks to flipkart for keeping up the delivery as per promise highly recommended!!,"Certified Buyer, Bengaluru",5 months ago,7,1,6082b95150df8a0d0cbd5732
5,APPLE iPhone 12 Pro Max ,Dr Chanmiki  Laloo,5,Best in the market!,"This is another big leap for iphone. The iphone 12 pro max the largest ever iphone.Camera is always superior to all, even though it does not have a 120 Hz, ite as smooth as ever.Display is awesome, sound is wow! Indeed with the a14 bionic , it is indeed the best iphone ever made.","Certified Buyer, Shillong",4 months ago,5,2,6082b95150df8a0d0cbd5733
6,APPLE iPhone 12 Pro Max ,Arvind Gopal,5,Perfect product!,I contemplated on getting this from before it was launched and then finally took the plunge. Excellent phone and features to say the least. My next four years will be serene. Flipkart was excellent with its delivery and were even courteous enough to call for feedback on the phone before my return period expired. A great experience 😊.,Certified Buyer,6 days ago,0,0,6082b95150df8a0d0cbd5734
7,APPLE iPhone 12 Pro Max ,Flipkart Customer,5,Perfect product!,Lovely phone ❤️❤️ i love this 🥰🥰,"Certified Buyer, Gurugram",3 months ago,732,86,6082b95150df8a0d0cbd5735
8,APPLE iPhone 12 Pro Max ,Chirag  bansal,5,Brilliant,If you have that much amount to spend ! Just go for it,"Certified Buyer, New Delhi",4 months ago,845,111,6082b95150df8a0d0cbd5736
9,APPLE iPhone 12 Pro Max ,Avi Raj,5,Terrific purchase,Awesome product thanks 2 filpcart for lovely product delivery on time,"Certified Buyer, Patna",4 months ago,328,40,6082b95150df8a0d0cbd5737
